Date,Total_Reserves_Excluding_Gold
1994-01,NA
1994-02,NA
1994-03,NA
1994-04,NA
1994-05,NA
1994-06,NA
1994-07,NA
1994-08,NA
1994-09,NA
1994-10,NA
1994-11,NA
1994-12,5344.0
1995-01,NA
1995-02,NA
1995-03,NA
1995-04,NA
1995-05,NA
1995-06,NA
1995-07,NA
1995-08,NA
1995-09,NA
1995-10,NA
1995-11,NA
1995-12,6234.0
1996-01,NA
1996-02,NA
1996-03,NA
1996-04,NA
1996-05,NA
1996-06,NA
1996-07,NA
1996-08,NA
1996-09,NA
1996-10,NA
1996-11,NA
1996-12,7529.0
1997-01,NA
1997-02,NA
1997-03,NA
1997-04,NA
1997-05,NA
1997-06,NA
1997-07,NA
1997-08,NA
1997-09,NA
1997-10,NA
1997-11,NA
1997-12,7893.0
1998-01,NA
1998-02,NA
1998-03,NA
1998-04,NA
1998-05,NA
1998-06,NA
1998-07,NA
1998-08,NA
1998-09,NA
1998-10,NA
1998-11,NA
1998-12,6476.0
1999-01,NA
1999-02,NA
1999-03,NA
1999-04,NA
1999-05,NA
1999-06,NA
1999-07,NA
1999-08,NA
1999-09,NA
1999-10,NA
1999-11,NA
1999-12,8244.0
2000-01,NA
2000-02,NA
2000-03,NA
2000-04,NA
2000-05,NA
2000-06,NA
2000-07,NA
2000-08,NA
2000-09,NA
2000-10,NA
2000-11,NA
2000-12,11160.0
2001-01,NA
2001-02,NA
2001-03,NA
2001-04,NA
2001-05,NA
2001-06,NA
2001-07,NA
2001-08,NA
2001-09,NA
2001-10,NA
2001-11,NA
2001-12,14024.0
2002-01,NA
2002-02,NA
2002-03,NA
2002-04,NA
2002-05,NA
2002-06,NA
2002-07,NA
2002-08,NA
2002-09,NA
2002-10,NA
2002-11,NA
2002-12,17578.0
2003-01,NA
2003-02,NA
2003-03,NA
2003-04,NA
2003-05,NA
2003-06,NA
2003-07,NA
2003-08,NA
2003-09,NA
2003-10,NA
2003-11,NA
2003-12,24671.0
2004-01,NA
2004-02,NA
